,PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
85,18,FELONY DANGEROUS DRUGS  (1),287.0,283.0,191.0,106.0,203.0,109.0,137.0,177.0,206.0,193.0,143.0,127.0,125.0,97.0,114.0,101.0
86,18,FELONY DANGEROUS WEAPONS (2)        ,13.0,13.0,16.0,14.0,18.0,14.0,23.0,20.0,26.0,25.0,18.0,10.0,17.0,16.0,23.0,10.0
87,18,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,242.0,254.0,192.0,127.0,111.0,106.0,108.0,61.0,68.0,85.0,98.0,75.0,76.0,80.0,85.0,70.0
88,18,OTHER FELONIES (4),120.0,100.0,97.0,118.0,55.0,76.0,36.0,63.0,72.0,80.0,64.0,62.0,74.0,58.0,80.0,86.0
89,18,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,864.0,844.0,644.0,564.0,549.0,515.0,522.0,535.0,636.0,622.0,574.0,493.0,552.0,533.0,574.0,525.0
90,19,FELONY POSSESSION STOLEN PROPERTY            ,14.0,12.0,15.0,6.0,32.0,16.0,19.0,6.0,4.0,8.0,14.0,6.0,11.0,13.0,4.0,10.0
91,19,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,94.0,83.0,94.0,247.0,433.0,339.0,391.0,339.0,287.0,207.0,235.0,256.0,237.0,269.0,210.0,275.0
92,19,ARSON                                 ,21.0,16.0,10.0,8.0,7.0,9.0,7.0,15.0,23.0,18.0,6.0,8.0,14.0,21.0,3.0,8.0
93,19,FELONY SEX CRIMES (3),5.0,10.0,11.0,6.0,7.0,9.0,7.0,10.0,12.0,9.0,10.0,14.0,16.0,15.0,14.0,17.0
94,19,FELONY DANGEROUS DRUGS  (1),57.0,45.0,33.0,37.0,44.0,39.0,57.0,61.0,44.0,56.0,44.0,47.0,37.0,23.0,15.0,16.0
95,19,FELONY DANGEROUS WEAPONS (2)        ,6.0,3.0,1.0,7.0,7.0,6.0,15.0,22.0,10.0,22.0,10.0,13.0,12.0,11.0,4.0,8.0
96,19,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,170.0,127.0,126.0,104.0,101.0,86.0,112.0,104.0,54.0,79.0,44.0,37.0,56.0,60.0,97.0,95.0
97,19,OTHER FELONIES (4),96.0,84.0,92.0,102.0,92.0,115.0,102.0,87.0,84.0,62.0,79.0,66.0,63.0,61.0,59.0,53.0
98,19,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,463.0,380.0,382.0,517.0,723.0,619.0,710.0,644.0,518.0,461.0,442.0,447.0,446.0,473.0,406.0,482.0
99,20,FELONY POSSESSION STOLEN PROPERTY            ,8.0,14.0,5.0,9.0,10.0,9.0,9.0,15.0,11.0,10.0,9.0,5.0,5.0,6.0,8.0,14.0
100,20,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,26.0,23.0,46.0,87.0,153.0,189.0,162.0,171.0,174.0,149.0,155.0,166.0,154.0,133.0,129.0,117.0
101,20,ARSON                                 ,11.0,9.0,10.0,3.0,6.0,11.0,5.0,3.0,6.0,7.0,6.0,1.0,2.0,4.0,1.0,2.0
102,20,FELONY SEX CRIMES (3),3.0,8.0,4.0,5.0,4.0,9.0,3.0,3.0,7.0,8.0,9.0,7.0,10.0,8.0,10.0,6.0
103,20,FELONY DANGEROUS DRUGS  (1),63.0,96.0,74.0,97.0,85.0,59.0,48.0,65.0,59.0,64.0,63.0,23.0,17.0,8.0,16.0,23.0
104,20,FELONY DANGEROUS WEAPONS (2)        ,7.0,10.0,5.0,3.0,2.0,7.0,11.0,7.0,20.0,18.0,22.0,15.0,8.0,2.0,6.0,9.0
105,20,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,132.0,123.0,91.0,59.0,74.0,44.0,39.0,37.0,45.0,30.0,35.0,17.0,23.0,19.0,17.0,24.0
106,20,OTHER FELONIES (4),52.0,57.0,60.0,53.0,59.0,58.0,47.0,43.0,40.0,39.0,41.0,34.0,38.0,27.0,45.0,51.0
107,20,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,302.0,340.0,295.0,316.0,393.0,386.0,324.0,344.0,362.0,325.0,340.0,268.0,257.0,207.0,232.0,246.0
108,22,FELONY POSSESSION STOLEN PROPERTY            ,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
109,22,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,1.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,7.0,5.0,5.0,3.0,2.0,5.0,1.0,7.0
110,22,ARSON                                 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
111,22,FELONY SEX CRIMES (3),41.0,2.0,5.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,4.0
112,22,FELONY DANGEROUS DRUGS  (1),6.0,4.0,6.0,2.0,5.0,15.0,2.0,4.0,5.0,2.0,4.0,5.0,3.0,4.0,1.0,6.0
113,22,FELONY DANGEROUS WEAPONS (2)        ,3.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,3.0,3.0,1.0,0.0,2.0,3.0,1.0
114,22,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,8.0,7.0,10.0,6.0,1.0,5.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,4.0,4.0
115,22,OTHER FELONIES (4),6.0,4.0,4.0,2.0,7.0,4.0,3.0,4.0,1.0,7.0,4.0,4.0,7.0,5.0,2.0,5.0
116,22,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,68.0,21.0,26.0,13.0,16.0,37.0,11.0,11.0,18.0,20.0,25.0,17.0,17.0,18.0,11.0,27.0
117,23,FELONY POSSESSION STOLEN PROPERTY            ,30.0,22.0,26.0,18.0,21.0,16.0,19.0,8.0,14.0,9.0,8.0,8.0,7.0,5.0,33.0,26.0
118,23,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,130.0,64.0,68.0,93.0,152.0,157.0,138.0,134.0,187.0,99.0,95.0,137.0,81.0,75.0,91.0,92.0
119,23,ARSON                                 ,63.0,60.0,29.0,22.0,38.0,40.0,41.0,21.0,43.0,30.0,36.0,24.0,25.0,32.0,38.0,46.0
120,23,FELONY SEX CRIMES (3),27.0,28.0,31.0,27.0,27.0,31.0,20.0,17.0,23.0,16.0,16.0,20.0,16.0,11.0,7.0,20.0
121,23,FELONY DANGEROUS DRUGS  (1),1005.0,909.0,973.0,714.0,643.0,573.0,562.0,552.0,494.0,378.0,380.0,341.0,343.0,258.0,256.0,262.0
122,23,FELONY DANGEROUS WEAPONS (2)        ,36.0,38.0,39.0,43.0,54.0,98.0,87.0,109.0,130.0,133.0,132.0,80.0,62.0,72.0,44.0,105.0
123,23,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,169.0,137.0,144.0,77.0,63.0,52.0,49.0,68.0,45.0,45.0,29.0,34.0,46.0,46.0,71.0,106.0
124,23,OTHER FELONIES (4),236.0,208.0,209.0,204.0,196.0,203.0,205.0,219.0,233.0,218.0,197.0,193.0,174.0,176.0,185.0,183.0
